city,latitude,longitude,temperature,humidity,description,timestamp
Dod Ballāpur,13.2257,77.575,305.77,49,scattered clouds,2024-06-01 14:27:20.374403
Rambagh,26.9196,75.7878,313.79,24,haze,2024-06-01 14:27:26.149145
Hyderabad,17.3862,78.462,311.34,28,scattered clouds,2024-06-01 14:39:17.047774
Ahmedabad,23.0256,72.5769,312.25,30,few clouds,2024-06-01 14:51:24.054333
Kolkata,22.7101,88.3167,308.16,66,haze,2024-06-01 14:30:40.884167
Bangalore,13.2257,77.575,305.92,49,scattered clouds,2024-06-01 14:32:18.442996
Kolkata,22.7101,88.3167,307.16,70,haze,2024-06-01 14:36:16.960303
Mumbai,18.9474,72.8138,307.2,62,haze,2024-06-01 14:51:52.829256
Pune,18.5372,73.8551,310.78,30,few clouds,2024-06-01 14:51:34.872500
